session_id,variant,persona,run_label,data_source,first_key_action_taken,task_completed,session_duration,num_events,,,,
20260413144331-NF8tkVm437,A,hesitant,pilot,simulated,0,0,1.65,3,,,,
20260413144333-v7JD18FHY1,A,goal_oriented,pilot,simulated,1,1,4.92,13,,,,
20260413144338-CpXvSTH3w2,A,goal_oriented,pilot,simulated,1,1,4.82,10,,,,
20260413144343-mIlS7msNSj,A,hesitant,pilot,simulated,0,0,2.17,3,,,,
20260413144346-xMZgRbkZCj,A,goal_oriented,pilot,simulated,1,1,5.23,10,,,,
20260413144351-wE7fuIWwdv,B,exploratory,pilot,simulated,1,0,5.87,7,,,,
20260413144358-Jj7Jno3XwO,B,exploratory,pilot,simulated,1,0,2.84,5,,,,
20260413144401-rDjCfZdpbe,B,hesitant,pilot,simulated,0,0,1.89,3,,,,
20260413144403-DlsCq6eMvM,B,hesitant,pilot,simulated,0,0,1.99,3,,,,
20260413144406-nqfHhrUdzE,B,exploratory,pilot,simulated,1,1,6.93,13,,,,
20260413144428-jWbkp3ReG8,A,goal_oriented,full,simulated,1,1,5.92,13,,,,
20260413144434-vLieVrOV4S,A,exploratory,full,simulated,1,1,6.43,11,,,,
20260413144441-ylzIWmmKcx,A,hesitant,full,simulated,0,0,1.79,3,,,,
20260413144443-T3RCCKFVlN,A,exploratory,full,simulated,1,0,3.42,5,,,,
20260413144447-XghdPZqeHA,A,hesitant,full,simulated,0,0,1.5,3,,,,
20260413144449-0rtpT0XgkO,A,exploratory,full,simulated,1,1,6.23,10,,,,
20260413144456-9eDu4v6VQl,A,exploratory,full,simulated,0,0,2.61,3,,,,
20260413144459-bpaUP4doHQ,A,exploratory,full,simulated,1,0,3.05,6,,,,
20260413144502-dlNKgdB9HM,A,hesitant,full,simulated,0,0,1.46,3,,,,
20260413144504-Pi5Jnycdbj,A,goal_oriented,full,simulated,1,1,5.48,13,,,,
20260413144510-9fb8H7sfKf,A,exploratory,full,simulated,1,1,8.06,14,,,,
20260413144519-6uUVjKjzal,A,goal_oriented,full,simulated,1,1,7.81,10,,,,
20260413144527-dap5twXoW9,A,exploratory,full,simulated,0,0,2.98,3,,,,
20260413144530-2WDXlw8aXk,A,hesitant,full,simulated,0,0,2.27,3,,,,
20260413144533-UL7C0qYCXq,A,hesitant,full,simulated,0,0,2.27,3,,,,
20260413144536-0QmGY1XDOl,A,goal_oriented,full,simulated,0,0,1.65,3,,,,
20260413144538-1LE2Bdlc8u,A,hesitant,full,simulated,0,0,2.17,3,,,,
20260413144541-kzhcCFhNif,A,exploratory,full,simulated,1,1,6.82,10,,,,
20260413144548-I84ENC6ydV,A,hesitant,full,simulated,0,0,2.21,3,,,,
20260413144550-Du2pgUyG4C,A,hesitant,full,simulated,0,0,1.77,3,,,,
20260413144553-v2f6klaKW9,A,goal_oriented,full,simulated,0,0,1.62,3,,,,
20260413144555-eLclwH1UiR,A,goal_oriented,full,simulated,1,0,3.26,6,,,,
20260413144558-1u36MWtoPN,A,exploratory,full,simulated,1,0,5.79,7,,,,
20260413144605-ayACCU7qmY,A,exploratory,full,simulated,0,0,2.89,3,,,,
20260413144608-6Zbi4wQlS1,A,exploratory,full,simulated,1,0,2.81,6,,,,
20260413144611-18EEbG3qFA,A,goal_oriented,full,simulated,1,1,5.4,10,,,,
20260413144617-v5GcIyA7ZJ,A,exploratory,full,simulated,0,0,2.17,3,,,,
20260413144619-HvvmcL8A72,A,hesitant,full,simulated,0,0,1.89,3,,,,
20260413144622-Ec9uGmSmjK,A,goal_oriented,full,simulated,1,1,5.45,13,,,,
20260413144628-B8rkTz9vci,A,exploratory,full,simulated,1,0,5.54,8,,,,
20260413144634-lYzY4XXIkA,A,hesitant,full,simulated,0,0,1.76,3,,,,
20260413144636-I77Ccem0ic,A,goal_oriented,full,simulated,1,0,2.88,7,,,,
20260413144639-1xmBbhez9e,A,hesitant,full,simulated,0,0,1.34,3,,,,
20260413144641-Bbnjo4tsgW,A,goal_oriented,full,simulated,1,0,2.82,6,,,,
20260413144644-gNm6g37B8X,A,exploratory,full,simulated,1,1,5.68,11,,,,
20260413144650-tEhLftuh3P,A,exploratory,full,simulated,1,0,2.64,5,,,,
20260413144653-3BBNDlBrea,A,exploratory,full,simulated,1,0,3.08,5,,,,
20260413144657-PeaT5OxVgi,A,goal_oriented,full,simulated,0,0,1.66,3,,,,
20260413144659-fT5iVZZc0m,A,goal_oriented,full,simulated,0,0,1.25,3,,,,
20260413144700-3EE6qMY5l5,A,goal_oriented,full,simulated,1,1,5.37,11,,,,
20260413144706-Wfcpeihgqc,A,exploratory,full,simulated,1,0,4.8,7,,,,
20260413144711-nsyF74NKFK,A,hesitant,full,simulated,0,0,1.49,3,,,,
20260413144713-iieoOBItJp,A,exploratory,full,simulated,1,0,2.95,5,,,,
20260413144717-oCWGCs2jmQ,A,goal_oriented,full,simulated,1,0,2.27,5,,,,
20260413144719-uFLOLr8nBP,A,hesitant,full,simulated,0,0,1.82,3,,,,
20260413144722-mfOtKgxROJ,A,exploratory,full,simulated,1,0,3.03,7,,,,
20260413144725-FMujb333zl,A,goal_oriented,full,simulated,1,1,5.42,13,,,,
20260413144731-pNn2CbSoqL,A,goal_oriented,full,simulated,1,1,5.49,13,,,,
20260413144737-cZvA4yM0nM,A,exploratory,full,simulated,1,1,6.67,12,,,,
20260413144744-adntUFCdk5,A,hesitant,full,simulated,0,0,1.55,3,,,,
20260413144746-OepEGciln0,A,goal_oriented,full,simulated,1,1,5.48,12,,,,
20260413144752-mXiGauZ4gD,A,goal_oriented,full,simulated,0,0,1.35,3,,,,
20260413144754-LiyUmhx5tu,A,exploratory,full,simulated,1,0,5.76,7,,,,
20260413144800-OmsKtw9l35,A,hesitant,full,simulated,0,0,1.44,3,,,,
20260413144802-ICMiCnCZFn,A,exploratory,full,simulated,0,0,2.53,3,,,,
20260413144805-79zcBxiRmT,A,exploratory,full,simulated,1,0,3.34,5,,,,
20260413144808-UUQZGraDXc,A,exploratory,full,simulated,0,0,2.65,3,,,,
20260413144811-yxAejdLFRM,A,exploratory,full,simulated,1,0,5.69,7,,,,
20260413144817-JXo1mT4BuW,A,exploratory,full,simulated,1,0,2.65,5,,,,
20260413144821-saK7R3LNB3,A,exploratory,full,simulated,1,1,6.93,13,,,,
20260413144828-nzFdxW6PWg,A,exploratory,full,simulated,1,1,6.8,14,,,,
20260413144835-xyVEFwd2xY,A,goal_oriented,full,simulated,1,0,3.02,7,,,,
20260413144839-wurFAYTPuA,A,hesitant,full,simulated,0,0,1.44,3,,,,
20260413144840-4WRKohdNbd,A,goal_oriented,full,simulated,1,0,2.92,6,,,,
20260413144844-7RkwqaakUX,A,goal_oriented,full,simulated,1,1,5.53,13,,,,
20260413144850-YuKDLWql7w,A,goal_oriented,full,simulated,1,1,4.36,10,,,,
20260413144854-Pelq7L9Erh,A,goal_oriented,full,simulated,1,1,4.78,10,,,,
20260413144900-IhWA9W5V7c,A,goal_oriented,full,simulated,1,0,2.58,7,,,,
20260413144903-RVldW7Adz2,A,hesitant,full,simulated,0,0,1.65,3,,,,
20260413144904-TlRm9x9mwg,A,exploratory,full,simulated,1,0,5.43,7,,,,
20260413144910-lVj1NAqEHz,A,exploratory,full,simulated,1,0,1.84,6,,,,
20260413144912-ZwXmoKR8oG,A,goal_oriented,full,simulated,1,1,4.49,12,,,,
20260413144917-qdY3rWUXIl,A,hesitant,full,simulated,0,0,1.84,3,,,,
20260413144919-wLbiByJYKL,A,goal_oriented,full,simulated,1,0,2.46,6,,,,
20260413144922-xKhZWy7op2,A,exploratory,full,simulated,1,0,2.68,7,,,,
20260413144925-s3YjPEbmCV,A,exploratory,full,simulated,1,1,5.52,11,,,,
20260413144931-1MFdJlBPZN,A,goal_oriented,full,simulated,1,1,4.66,10,,,,
20260413144936-wbevOCC8IL,A,hesitant,full,simulated,0,0,1.23,3,,,,
20260413144938-vB31hBMapg,A,exploratory,full,simulated,1,0,4.25,8,,,,
20260413144942-wbeioluYSc,A,hesitant,full,simulated,0,0,1.57,3,,,,
20260413144944-qnFMcysxMG,A,exploratory,full,simulated,1,0,2.35,6,,,,
20260413144947-wJx9F1nmXe,A,hesitant,full,simulated,0,0,1.49,3,,,,
20260413144949-p4tfiL5wKO,A,goal_oriented,full,simulated,1,0,2.48,6,,,,
20260413144951-fU5Zl7WfGR,A,goal_oriented,full,simulated,1,1,4.69,10,,,,
20260413144956-717pVWcm4k,A,exploratory,full,simulated,0,0,2.92,3,,,,
20260413145000-0mE2qj1d4H,A,hesitant,full,simulated,0,0,1.18,3,,,,
20260413145001-LxFNKmVdIK,A,hesitant,full,simulated,0,0,1.22,3,,,,
20260413145003-vqqaKetcYj,A,goal_oriented,full,simulated,1,1,4.79,13,,,,
20260413145008-CY3lyj59RB,A,hesitant,full,simulated,0,0,1.25,3,,,,
20260413145009-uH97sH0v3d,A,exploratory,full,simulated,1,0,2.78,6,,,,
20260413145012-A7gSTlXvSu,A,exploratory,full,simulated,1,1,5.33,10,,,,
20260413145018-G5f5wMPjfI,A,exploratory,full,simulated,1,0,3.68,6,,,,
20260413145022-wRqMnQyVpy,A,goal_oriented,full,simulated,0,0,1.82,3,,,,
20260413145024-R4To7Xv2Lt,A,goal_oriented,full,simulated,1,1,4.71,11,,,,
20260413145029-KhX4Z2u4yG,A,exploratory,full,simulated,1,1,5.18,10,,,,
20260413145035-Va6NwR0AO9,A,goal_oriented,full,simulated,1,1,4.65,11,,,,
20260413145040-rDiLnq0a0K,A,goal_oriented,full,simulated,0,0,1.42,3,,,,
20260413145042-FD2flE08P8,A,goal_oriented,full,simulated,1,1,4.66,10,,,,
20260413145047-rcL6Zl0AMv,A,exploratory,full,simulated,1,1,4.67,11,,,,
20260413145052-EMrNVRt7Vt,A,hesitant,full,simulated,0,0,1.26,3,,,,
20260413145053-DuroUpMvQk,B,goal_oriented,full,simulated,1,1,4.56,11,,,,
20260413145058-0L9TGnaPSy,B,hesitant,full,simulated,0,0,1.26,3,,,,
20260413145100-f5gvax6gOb,B,goal_oriented,full,simulated,1,1,4.47,10,,,,
20260413145104-UcgI2o8RZE,B,goal_oriented,full,simulated,1,1,4.76,13,,,,
20260413145109-e6A7rSjo8m,B,hesitant,full,simulated,0,0,1.38,3,,,,
20260413145111-15dH3f0oHm,B,exploratory,full,simulated,1,1,5.58,11,,,,
20260413145117-pDGLqNrmUx,B,goal_oriented,full,simulated,1,1,4.55,11,,,,
20260413145122-1cmUmsoMxu,B,exploratory,full,simulated,1,1,5.57,10,,,,
20260413145128-VxPbYjq2Lr,B,exploratory,full,simulated,1,1,6.08,13,,,,
20260413145134-HhAHNWOmBi,B,goal_oriented,full,simulated,1,1,4.59,13,,,,
20260413145139-PiaeDlfRqI,B,hesitant,full,simulated,0,0,1.28,3,,,,
20260413145141-qtMzgDdmt9,B,exploratory,full,simulated,1,0,5.76,8,,,,
20260413145147-CNXiC6pCLI,B,exploratory,full,simulated,1,0,3.12,5,,,,
20260413145150-Bdf92lAxpW,B,exploratory,full,simulated,0,0,3.7,3,,,,
20260413145154-1eGyIx6QSU,B,exploratory,full,simulated,1,1,5.72,11,,,,
20260413145200-GSGvn5A8qK,B,goal_oriented,full,simulated,1,1,4.54,11,,,,
20260413145205-Q9VstBoP5U,B,hesitant,full,simulated,1,0,1.73,5,,,,
20260413145207-nGd1CLQkSg,B,exploratory,full,simulated,1,1,5.79,10,,,,
20260413145213-upD2B1Hq57,B,goal_oriented,full,simulated,0,0,1.16,3,,,,
20260413145215-0qNxh6B8D8,B,exploratory,full,simulated,1,0,5.67,7,,,,
20260413145221-F6ZSuguu6i,B,goal_oriented,full,simulated,1,0,2.53,7,,,,
20260413145224-1xv453i4VU,B,goal_oriented,full,simulated,1,0,2.58,7,,,,
20260413145227-WUq3kGqXZl,B,goal_oriented,full,simulated,1,0,2.45,6,,,,
20260413145229-lPgbluhja8,B,exploratory,full,simulated,1,0,3.16,6,,,,
20260413145233-prlKeFJpm5,B,exploratory,full,simulated,1,0,2.79,5,,,,
20260413145236-Hu6StijBpb,B,exploratory,full,simulated,1,0,3.03,5,,,,
20260413145239-MPzx6vqcFV,B,hesitant,full,simulated,0,0,1.66,3,,,,
20260413145241-Zq0CAQtrWa,B,goal_oriented,full,simulated,1,1,4.73,12,,,,
20260413145246-LYQn0UYpzu,B,exploratory,full,simulated,1,1,4.56,11,,,,
20260413145251-352a6dlEcQ,B,exploratory,full,simulated,1,1,5.84,11,,,,
20260413145257-JBjWyA2c17,B,goal_oriented,full,simulated,1,1,5.15,10,,,,
20260413145303-DeY3ANyc96,B,goal_oriented,full,simulated,1,1,4.65,11,,,,
20260413145308-gNedPSnSwV,B,hesitant,full,simulated,0,0,1.64,3,,,,
20260413145310-AF6cxj6CkG,B,exploratory,full,simulated,1,1,5.93,13,,,,
20260413145316-hvGLgDJmWR,B,goal_oriented,full,simulated,1,1,4.45,10,,,,
20260413145321-KoPLB2lzjj,B,exploratory,full,simulated,1,1,4.91,10,,,,
20260413145326-bJqNrh7Awb,B,hesitant,full,simulated,0,0,1.28,3,,,,
20260413145328-jZywmedSNW,B,hesitant,full,simulated,0,0,1.25,3,,,,
20260413145329-HUjIMI2Z14,B,goal_oriented,full,simulated,1,1,4.4,10,,,,
20260413145334-dTnjCtiAjb,B,goal_oriented,full,simulated,1,0,2.24,7,,,,
20260413145337-E1kMI2x8Va,B,exploratory,full,simulated,1,1,6.85,12,,,,
20260413145344-1JhkDMc49l,B,exploratory,full,simulated,1,0,5.02,7,,,,
20260413145349-jU1Em5sEo6,B,hesitant,full,simulated,1,0,1.89,5,,,,
20260413145351-NuwoGR2vpZ,B,goal_oriented,full,simulated,1,1,4.45,11,,,,
20260413145356-yQPEzRSnpj,B,hesitant,full,simulated,0,0,1.58,3,,,,
20260413145358-w5G0vcBICe,B,hesitant,full,simulated,0,0,1.56,3,,,,
20260413145400-nvdh1TVukH,B,goal_oriented,full,simulated,1,1,4.45,12,,,,
20260413145405-FTJZ94PdiG,B,goal_oriented,full,simulated,1,1,4.45,11,,,,
20260413145410-zQGnJ3VXU7,B,exploratory,full,simulated,1,1,5.68,11,,,,
20260413145416-hTezYGISaE,B,hesitant,full,simulated,1,0,1.63,5,,,,
20260413145417-icgExwCuah,B,exploratory,full,simulated,1,0,2.55,6,,,,
20260413145420-sBwBMTBBqh,B,exploratory,full,simulated,1,0,2.74,6,,,,
20260413145423-4Qpt1Xjrfx,B,goal_oriented,full,simulated,1,1,4.48,13,,,,
20260413145428-0vIzil3Hgv,B,exploratory,full,simulated,1,1,5.46,10,,,,
20260413145434-nblBfM8llo,B,exploratory,full,simulated,1,0,2.92,7,,,,
20260413145437-iZZISpYAcT,B,goal_oriented,full,simulated,1,0,3,7,,,,
20260413145441-RIz8NUPNAq,B,hesitant,full,simulated,0,0,1.65,3,,,,
20260413145443-U9y5qL0vrn,B,goal_oriented,full,simulated,1,1,4.52,11,,,,
20260413145447-jNBud8bYt6,B,goal_oriented,full,simulated,1,1,4.69,13,,,,
20260413145452-0zdd9A5x94,B,goal_oriented,full,simulated,0,0,1.56,3,,,,
20260413145454-ISq5KKavzF,B,hesitant,full,simulated,1,0,2.44,7,,,,
20260413145457-XPZk9oLJUB,B,goal_oriented,full,simulated,1,0,2.45,6,,,,
20260413145500-u72wie2Qwk,B,hesitant,full,simulated,1,0,2.38,7,,,,
20260413145503-1H75a8r8ap,B,exploratory,full,simulated,1,0,3.81,5,,,,
20260413145507-1ZNjHP7Jxp,B,exploratory,full,simulated,1,0,4.4,7,,,,
20260413145511-mqSIZkQJlQ,B,exploratory,full,simulated,0,0,2.36,3,,,,
20260413145514-1UkjuDNok5,B,hesitant,full,simulated,0,0,1.69,3,,,,
20260413145516-zDB26OuPYk,B,goal_oriented,full,simulated,1,0,2.74,6,,,,
20260413145519-cblkVgyeTe,B,exploratory,full,simulated,1,1,4.52,10,,,,
20260413145524-Oua5pk9yzm,B,exploratory,full,simulated,1,0,5.4,8,,,,
20260413145530-J9GBK0dj7v,B,exploratory,full,simulated,1,1,6.01,12,,,,
20260413145536-ofblSztTlu,B,exploratory,full,simulated,1,0,2.81,5,,,,
20260413145539-fitgYxFkWG,B,exploratory,full,simulated,1,0,2.83,7,,,,
20260413145542-opqj8J22tG,B,exploratory,full,simulated,1,1,5.74,13,,,,
20260413145548-9VaWOfVwUJ,B,goal_oriented,full,simulated,1,1,4.52,10,,,,
20260413145553-ewYYMubGE5,B,hesitant,full,simulated,1,1,4.87,11,,,,
20260413145558-B57RkYkII6,B,goal_oriented,full,simulated,1,1,4.38,10,,,,
20260413145603-mIrSmx5ReJ,B,exploratory,full,simulated,1,1,6.41,10,,,,
20260413145610-l8pvWPrnpS,B,exploratory,full,simulated,0,0,2.38,3,,,,
20260413145613-wMHAMQaEv0,B,exploratory,full,simulated,1,1,5.95,10,,,,
20260413145619-nWwC7CqzNU,B,goal_oriented,full,simulated,1,1,4.81,13,,,,
20260413145624-66qk5HKoT8,B,goal_oriented,full,simulated,1,1,4.53,13,,,,
20260413145629-B3fMuh3Ify,B,hesitant,full,simulated,0,0,1.26,3,,,,
20260413145631-ldx5DjhL47,B,exploratory,full,simulated,1,0,2.93,5,,,,
20260413145634-kOaWiZq5CC,B,goal_oriented,full,simulated,1,0,2.18,6,,,,
20260413145636-sZanN6D8Cj,B,exploratory,full,simulated,1,0,3.18,7,,,,
20260413145640-62azxrTLD1,B,goal_oriented,full,simulated,1,1,4.51,11,,,,
20260413145645-npkl0hGqdE,B,hesitant,full,simulated,0,0,1.7,3,,,,
20260413145647-BWRlEzWX1y,B,hesitant,full,simulated,0,0,1.7,3,,,,
20260413145649-jChxpfc2ma,B,goal_oriented,full,simulated,1,0,2.25,7,,,,
20260413145651-BYeYKxEOtV,B,goal_oriented,full,simulated,0,0,1.41,3,,,,
20260413145653-RyZuEXQkwf,B,goal_oriented,full,simulated,1,0,2.43,7,,,,
20260413145656-IHTrUJSjGP,B,exploratory,full,simulated,1,0,2.95,8,,,,
20260413145659-n5oZebHhhJ,B,hesitant,full,simulated,0,0,1.42,3,,,,
20260413145701-51RgYeHiaA,B,hesitant,full,simulated,0,0,1.45,3,,,,
20260413145703-zZJpOlGu3s,B,hesitant,full,simulated,0,0,1.8,3,,,,
20260413145705-vZbIdpqhdB,B,hesitant,full,simulated,0,0,1.86,3,,,,
20260413145707-qx20BgahhF,B,exploratory,full,simulated,1,1,6.49,11,,,,
20260413145714-2aYIQml3bw,B,exploratory,full,simulated,1,0,2.34,5,,,,
20260413145716-AOVxDMXYTH,B,hesitant,full,simulated,0,0,1.44,3,,,,
realA_001,A,real_bridge_77,,real_imputed_users,1,1,40,3,,,1366,173
realA_002,A,real_bridge_77,,real_imputed_users,1,0,35,1,,,4673,424
realA_003,A,real_bridge_77,,real_imputed_users,1,0,28,2,,,,
realA_004,A,real_bridge_77,,real_imputed_users,1,0,24,4,,,,
realA_005,A,real_bridge_77,,real_imputed_users,1,0,22,1,,,,
realA_006,A,real_bridge_77,,real_imputed_users,0,0,10,0,,,,
realA_007,A,real_bridge_77,,real_imputed_users,0,0,62,13,,,,
realA_008,A,real_bridge_77,,real_imputed_users,0,0,18,1,,,,
