"session_id","variant","run_label","timestamp","event_name","event_value","tab_name"
"20260413144331-NF8tkVm437","A","pilot","2026-04-13 14:43:31","session_start","assignment_mode=query_override;variant=A","Guide"
"20260413144331-NF8tkVm437","A","pilot","2026-04-13 14:43:31","landing_view","variant=A","Guide"
"20260413144331-NF8tkVm437","A","pilot","2026-04-13 14:43:32","session_end","duration_seconds=1.65","Guide"
"20260413144333-v7JD18FHY1","A","pilot","2026-04-13 14:43:33","session_start","assignment_mode=query_override;variant=A","Guide"
"20260413144333-v7JD18FHY1","A","pilot","2026-04-13 14:43:33","landing_view","variant=A","Guide"
"20260413144333-v7JD18FHY1","A","pilot","2026-04-13 14:43:34","sample_data_clicked","iris","Data"
"20260413144333-v7JD18FHY1","A","pilot","2026-04-13 14:43:34","first_key_action","sample_data_clicked:iris","Data"
"20260413144333-v7JD18FHY1","A","pilot","2026-04-13 14:43:35","cleaning_applied","Standardized column names.","Cleaning"
"20260413144333-v7JD18FHY1","A","pilot","2026-04-13 14:43:35","cleaning_applied","Standardized column names. | Removed 1 duplicate rows.","Cleaning"
"20260413144333-v7JD18FHY1","A","pilot","2026-04-13 14:43:36","feature_engineering_applied","sim_feature_A_2","Feature Engineering"
"20260413144333-v7JD18FHY1","A","pilot","2026-04-13 14:43:36","eda_generated","Histogram","EDA"
"20260413144333-v7JD18FHY1","A","pilot","2026-04-13 14:43:36","task_completed","dataset_loaded+cleaning+feature_engineering+eda","EDA"
"20260413144333-v7JD18FHY1","A","pilot","2026-04-13 14:43:37","eda_generated","plot_type=Histogram;plot_x=Sepal_Length;plot_y=Sepal_Length","EDA"
"20260413144333-v7JD18FHY1","A","pilot","2026-04-13 14:43:37","eda_generated","plot_type=Scatter plot;plot_x=Sepal_Length;plot_y=Sepal_Length","EDA"
"20260413144333-v7JD18FHY1","A","pilot","2026-04-13 14:43:37","eda_generated","plot_type=Scatter plot;plot_x=Sepal_Length;plot_y=Sepal_Width","EDA"
"20260413144333-v7JD18FHY1","A","pilot","2026-04-13 14:43:37","session_end","duration_seconds=4.92","EDA"
"20260413144338-CpXvSTH3w2","A","pilot","2026-04-13 14:43:38","session_start","assignment_mode=query_override;variant=A","Guide"
"20260413144338-CpXvSTH3w2","A","pilot","2026-04-13 14:43:38","landing_view","variant=A","Guide"
"20260413144338-CpXvSTH3w2","A","pilot","2026-04-13 14:43:40","cleaning_applied","Standardized column names.","Cleaning"
"20260413144338-CpXvSTH3w2","A","pilot","2026-04-13 14:43:40","first_key_action","cleaning_applied","Cleaning"
"20260413144338-CpXvSTH3w2","A","pilot","2026-04-13 14:43:40","cleaning_applied","Standardized column names. | No date-like columns were detected.","Cleaning"
"20260413144338-CpXvSTH3w2","A","pilot","2026-04-13 14:43:41","feature_engineering_applied","sim_feature_A_3","Feature Engineering"
"20260413144338-CpXvSTH3w2","A","pilot","2026-04-13 14:43:42","eda_generated","Histogram","EDA"
"20260413144338-CpXvSTH3w2","A","pilot","2026-04-13 14:43:42","task_completed","dataset_loaded+cleaning+feature_engineering+eda","EDA"
"20260413144338-CpXvSTH3w2","A","pilot","2026-04-13 14:43:42","eda_generated","plot_type=Histogram;plot_x=Ozone;plot_y=Ozone","EDA"
"20260413144338-CpXvSTH3w2","A","pilot","2026-04-13 14:43:43","session_end","duration_seconds=4.82","EDA"
"20260413144343-mIlS7msNSj","A","pilot","2026-04-13 14:43:43","session_start","assignment_mode=query_override;variant=A","Guide"
"20260413144343-mIlS7msNSj","A","pilot","2026-04-13 14:43:44","landing_view","variant=A","Guide"
"20260413144343-mIlS7msNSj","A","pilot","2026-04-13 14:43:45","session_end","duration_seconds=2.17","Data"
"20260413144346-xMZgRbkZCj","A","pilot","2026-04-13 14:43:46","session_start","assignment_mode=query_override;variant=A","Guide"
"20260413144346-xMZgRbkZCj","A","pilot","2026-04-13 14:43:46","landing_view","variant=A","Guide"
"20260413144346-xMZgRbkZCj","A","pilot","2026-04-13 14:43:48","cleaning_applied","Standardized column names.","Cleaning"
"20260413144346-xMZgRbkZCj","A","pilot","2026-04-13 14:43:48","first_key_action","cleaning_applied","Cleaning"
"20260413144346-xMZgRbkZCj","A","pilot","2026-04-13 14:43:48","cleaning_applied","Standardized column names. | No date-like columns were detected.","Cleaning"
"20260413144346-xMZgRbkZCj","A","pilot","2026-04-13 14:43:50","feature_engineering_applied","sim_feature_A_5","Feature Engineering"
"20260413144346-xMZgRbkZCj","A","pilot","2026-04-13 14:43:50","eda_generated","Histogram","EDA"
"20260413144346-xMZgRbkZCj","A","pilot","2026-04-13 14:43:50","task_completed","dataset_loaded+cleaning+feature_engineering+eda","EDA"
