"session_id","variant","persona","run_label","first_key_action_taken","task_completed","session_duration","num_events"
"20260413144331-NF8tkVm437","A","hesitant","pilot",FALSE,FALSE,1.65,3
"20260413144333-v7JD18FHY1","A","goal_oriented","pilot",TRUE,TRUE,4.92,13
"20260413144338-CpXvSTH3w2","A","goal_oriented","pilot",TRUE,TRUE,4.82,10
"20260413144343-mIlS7msNSj","A","hesitant","pilot",FALSE,FALSE,2.17,3
"20260413144346-xMZgRbkZCj","A","goal_oriented","pilot",TRUE,TRUE,5.23,10
"20260413144351-wE7fuIWwdv","B","exploratory","pilot",TRUE,FALSE,5.87,7
"20260413144358-Jj7Jno3XwO","B","exploratory","pilot",TRUE,FALSE,2.84,5
"20260413144401-rDjCfZdpbe","B","hesitant","pilot",FALSE,FALSE,1.89,3
"20260413144403-DlsCq6eMvM","B","hesitant","pilot",FALSE,FALSE,1.99,3
"20260413144406-nqfHhrUdzE","B","exploratory","pilot",TRUE,TRUE,6.93,13
"20260413144428-jWbkp3ReG8","A","goal_oriented","full",TRUE,TRUE,5.92,13
"20260413144434-vLieVrOV4S","A","exploratory","full",TRUE,TRUE,6.43,11
"20260413144441-ylzIWmmKcx","A","hesitant","full",FALSE,FALSE,1.79,3
"20260413144443-T3RCCKFVlN","A","exploratory","full",TRUE,FALSE,3.42,5
"20260413144447-XghdPZqeHA","A","hesitant","full",FALSE,FALSE,1.5,3
"20260413144449-0rtpT0XgkO","A","exploratory","full",TRUE,TRUE,6.23,10
"20260413144456-9eDu4v6VQl","A","exploratory","full",FALSE,FALSE,2.61,3
"20260413144459-bpaUP4doHQ","A","exploratory","full",TRUE,FALSE,3.05,6
"20260413144502-dlNKgdB9HM","A","hesitant","full",FALSE,FALSE,1.46,3
"20260413144504-Pi5Jnycdbj","A","goal_oriented","full",TRUE,TRUE,5.48,13
"20260413144510-9fb8H7sfKf","A","exploratory","full",TRUE,TRUE,8.06,14
"20260413144519-6uUVjKjzal","A","goal_oriented","full",TRUE,TRUE,7.81,10
"20260413144527-dap5twXoW9","A","exploratory","full",FALSE,FALSE,2.98,3
"20260413144530-2WDXlw8aXk","A","hesitant","full",FALSE,FALSE,2.27,3
"20260413144533-UL7C0qYCXq","A","hesitant","full",FALSE,FALSE,2.27,3
"20260413144536-0QmGY1XDOl","A","goal_oriented","full",FALSE,FALSE,1.65,3
"20260413144538-1LE2Bdlc8u","A","hesitant","full",FALSE,FALSE,2.17,3
"20260413144541-kzhcCFhNif","A","exploratory","full",TRUE,TRUE,6.82,10
"20260413144548-I84ENC6ydV","A","hesitant","full",FALSE,FALSE,2.21,3
"20260413144550-Du2pgUyG4C","A","hesitant","full",FALSE,FALSE,1.77,3
"20260413144553-v2f6klaKW9","A","goal_oriented","full",FALSE,FALSE,1.62,3
"20260413144555-eLclwH1UiR","A","goal_oriented","full",TRUE,FALSE,3.26,6
"20260413144558-1u36MWtoPN","A","exploratory","full",TRUE,FALSE,5.79,7
"20260413144605-ayACCU7qmY","A","exploratory","full",FALSE,FALSE,2.89,3
"20260413144608-6Zbi4wQlS1","A","exploratory","full",TRUE,FALSE,2.81,6
"20260413144611-18EEbG3qFA","A","goal_oriented","full",TRUE,TRUE,5.4,10
"20260413144617-v5GcIyA7ZJ","A","exploratory","full",FALSE,FALSE,2.17,3
"20260413144619-HvvmcL8A72","A","hesitant","full",FALSE,FALSE,1.89,3
"20260413144622-Ec9uGmSmjK","A","goal_oriented","full",TRUE,TRUE,5.45,13
"20260413144628-B8rkTz9vci","A","exploratory","full",TRUE,FALSE,5.54,8
"20260413144634-lYzY4XXIkA","A","hesitant","full",FALSE,FALSE,1.76,3
"20260413144636-I77Ccem0ic","A","goal_oriented","full",TRUE,FALSE,2.88,7
"20260413144639-1xmBbhez9e","A","hesitant","full",FALSE,FALSE,1.34,3
"20260413144641-Bbnjo4tsgW","A","goal_oriented","full",TRUE,FALSE,2.82,6
"20260413144644-gNm6g37B8X","A","exploratory","full",TRUE,TRUE,5.68,11
"20260413144650-tEhLftuh3P","A","exploratory","full",TRUE,FALSE,2.64,5
"20260413144653-3BBNDlBrea","A","exploratory","full",TRUE,FALSE,3.08,5
"20260413144657-PeaT5OxVgi","A","goal_oriented","full",FALSE,FALSE,1.66,3
"20260413144659-fT5iVZZc0m","A","goal_oriented","full",FALSE,FALSE,1.25,3
"20260413144700-3EE6qMY5l5","A","goal_oriented","full",TRUE,TRUE,5.37,11
"20260413144706-Wfcpeihgqc","A","exploratory","full",TRUE,FALSE,4.8,7
"20260413144711-nsyF74NKFK","A","hesitant","full",FALSE,FALSE,1.49,3
"20260413144713-iieoOBItJp","A","exploratory","full",TRUE,FALSE,2.95,5
"20260413144717-oCWGCs2jmQ","A","goal_oriented","full",TRUE,FALSE,2.27,5
"20260413144719-uFLOLr8nBP","A","hesitant","full",FALSE,FALSE,1.82,3
"20260413144722-mfOtKgxROJ","A","exploratory","full",TRUE,FALSE,3.03,7
