"session_id","variant","persona","run_label","planned_dataset","data_source"
"20260413144331-NF8tkVm437","A","hesitant","pilot","airquality","simulated"
"20260413144333-v7JD18FHY1","A","goal_oriented","pilot","iris","simulated"
"20260413144338-CpXvSTH3w2","A","goal_oriented","pilot","airquality","simulated"
"20260413144343-mIlS7msNSj","A","hesitant","pilot","airquality","simulated"
"20260413144346-xMZgRbkZCj","A","goal_oriented","pilot","airquality","simulated"
"20260413144351-wE7fuIWwdv","B","exploratory","pilot","airquality","simulated"
"20260413144358-Jj7Jno3XwO","B","exploratory","pilot","airquality","simulated"
"20260413144401-rDjCfZdpbe","B","hesitant","pilot","airquality","simulated"
"20260413144403-DlsCq6eMvM","B","hesitant","pilot","airquality","simulated"
"20260413144406-nqfHhrUdzE","B","exploratory","pilot","iris","simulated"
"20260413144428-jWbkp3ReG8","A","goal_oriented","full","iris","simulated"
"20260413144434-vLieVrOV4S","A","exploratory","full","airquality","simulated"
"20260413144441-ylzIWmmKcx","A","hesitant","full","iris","simulated"
"20260413144443-T3RCCKFVlN","A","exploratory","full","iris","simulated"
"20260413144447-XghdPZqeHA","A","hesitant","full","airquality","simulated"
"20260413144449-0rtpT0XgkO","A","exploratory","full","airquality","simulated"
"20260413144456-9eDu4v6VQl","A","exploratory","full","airquality","simulated"
"20260413144459-bpaUP4doHQ","A","exploratory","full","airquality","simulated"
"20260413144502-dlNKgdB9HM","A","hesitant","full","airquality","simulated"
"20260413144504-Pi5Jnycdbj","A","goal_oriented","full","iris","simulated"
"20260413144510-9fb8H7sfKf","A","exploratory","full","iris","simulated"
"20260413144519-6uUVjKjzal","A","goal_oriented","full","airquality","simulated"
"20260413144527-dap5twXoW9","A","exploratory","full","iris","simulated"
"20260413144530-2WDXlw8aXk","A","hesitant","full","airquality","simulated"
"20260413144533-UL7C0qYCXq","A","hesitant","full","airquality","simulated"
"20260413144536-0QmGY1XDOl","A","goal_oriented","full","airquality","simulated"
"20260413144538-1LE2Bdlc8u","A","hesitant","full","airquality","simulated"
"20260413144541-kzhcCFhNif","A","exploratory","full","airquality","simulated"
"20260413144548-I84ENC6ydV","A","hesitant","full","airquality","simulated"
"20260413144550-Du2pgUyG4C","A","hesitant","full","iris","simulated"
"20260413144553-v2f6klaKW9","A","goal_oriented","full","airquality","simulated"
"20260413144555-eLclwH1UiR","A","goal_oriented","full","iris","simulated"
"20260413144558-1u36MWtoPN","A","exploratory","full","airquality","simulated"
"20260413144605-ayACCU7qmY","A","exploratory","full","iris","simulated"
"20260413144608-6Zbi4wQlS1","A","exploratory","full","iris","simulated"
"20260413144611-18EEbG3qFA","A","goal_oriented","full","airquality","simulated"
"20260413144617-v5GcIyA7ZJ","A","exploratory","full","airquality","simulated"
"20260413144619-HvvmcL8A72","A","hesitant","full","iris","simulated"
"20260413144622-Ec9uGmSmjK","A","goal_oriented","full","iris","simulated"
"20260413144628-B8rkTz9vci","A","exploratory","full","airquality","simulated"
"20260413144634-lYzY4XXIkA","A","hesitant","full","iris","simulated"
"20260413144636-I77Ccem0ic","A","goal_oriented","full","iris","simulated"
"20260413144639-1xmBbhez9e","A","hesitant","full","iris","simulated"
"20260413144641-Bbnjo4tsgW","A","goal_oriented","full","airquality","simulated"
"20260413144644-gNm6g37B8X","A","exploratory","full","iris","simulated"
"20260413144650-tEhLftuh3P","A","exploratory","full","iris","simulated"
"20260413144653-3BBNDlBrea","A","exploratory","full","airquality","simulated"
"20260413144657-PeaT5OxVgi","A","goal_oriented","full","iris","simulated"
"20260413144659-fT5iVZZc0m","A","goal_oriented","full","airquality","simulated"
"20260413144700-3EE6qMY5l5","A","goal_oriented","full","airquality","simulated"
"20260413144706-Wfcpeihgqc","A","exploratory","full","airquality","simulated"
